AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
RZEZNIK-ORIGNAC J;1;2;0;0;0;rzeznik-orignac j;0,00000000000000e+00;7,19476221310886e-05;1,54006846666683e-04;c06
SABASTIA M;1;1;0;0;0;sabastia m;0,00000000000000e+00;6,49266329048176e-05;1,73479657242795e-04;c11
SABATIE MR;1;9;0;0;5;sabatie mr;0,00000000000000e+00;5,33504054630815e-05;1,53981150588701e-04;c04
SABATIER C;1;13;0;0;0;sabatier c;0,00000000000000e+00;6,04558370110634e-05;1,22467783375627e-04;c06
SABATIER EJ;1;51;0;0;0;sabatier ej;0,00000000000000e+00;7,06164818868724e-05;1,16001378814160e-04;c05
SABATIER R;1;49;0;0;5;sabatier r;0,00000000000000e+00;5,89448865310934e-05;1,32729486660972e-04;c02
SABATINI VC;1;8;0;0;0;sabatini vc;0,00000000000000e+00;6,29921259842520e-05;2,45661575161217e-04;c04
SACCONE P;1;9;1;9;2;saccone p;0,00000000000000e+00;6,07902735562310e-05;1,72018010192489e-04;c01
SACHER F;1;6;1;6;1;sacher f;0,00000000000000e+00;9,09090909090909e-02;2,27515755465828e-04;NA
SACHER M;1;12;0;0;0;sacher m;0,00000000000000e+00;6,58371189676740e-05;1,00044301417835e-04;c05
SADAOUI M;1;36;1;36;22;sadaoui m;4,83041523621287e+01;6,68762121313449e-05;1,27173566790723e-04;c02
SADOUL N;1;27;0;0;0;sadoul n;0,00000000000000e+00;1,25000000000000e-01;2,34473310048608e-04;NA
SAEY L;1;9;0;0;0;saey l;0,00000000000000e+00;7,38170812726065e-05;1,67626328685923e-04;c05
SAFARI MJS;1;1;0;0;1;safari mjs;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
SAGLIOCCO M;1;8;0;0;0;sagliocco m;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
SAHRAEI P;1;0;1;0;0;sahraei p;0,00000000000000e+00;3,99249411107119e-05;1,40828187729058e-04;NA
SAINTAGNE C;1;57;0;0;0;saintagne c;0,00000000000000e+00;4,65896384644055e-05;1,98730024134975e-04;NA
SAKHO I;1;4;1;4;1;sakho i;0,00000000000000e+00;6,99986000279994e-05;1,65367116487270e-04;c05
SALAT J;1;42;0;0;8;salat j;0,00000000000000e+00;5,21893429361724e-05;1,12927864581360e-04;NA
SALENPICARD C;1;17;1;17;14;salenpicard c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
SALVADO JA;1;26;1;26;7;salvado ja;1,27635241936712e+00;7,04721634954193e-05;1,68519100787993e-04;c02
SALVADOR-BLANES S;1;8;0;0;0;salvador-blanes s;0,00000000000000e+00;5,97335881966430e-05;1,89634770537488e-04;NA
SALZBURGER W;1;63;1;63;1;salzburger w;0,00000000000000e+00;5,96765530822940e-05;1,93267170904806e-04;c09
SAMAT O;1;42;0;0;2;samat o;0,00000000000000e+00;6,51508241579256e-05;1,16321394046515e-04;c05
SAMELA C;1;10;0;0;1;samela c;0,00000000000000e+00;1,66666666666667e-01;2,27515755465975e-04;NA
SANCHEZ P;1;37;0;0;3;sanchez p;0,00000000000000e+00;5,71689915389893e-05;1,80485123732151e-04;NA
SANCHEZCABEZA JA;1;11;1;11;3;sanchezcabeza ja;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
SANDERS T;1;3;0;0;1;sanders t;0,00000000000000e+00;1,66666666666667e-01;2,27515755466035e-04;NA
SANDOZ JY;1;27;0;0;0;sandoz jy;0,00000000000000e+00;6,23791404154451e-05;1,43663925680411e-04;NA
SANSJOFRE P;1;4;0;0;0;sansjofre p;0,00000000000000e+00;5,87268029128494e-05;1,51492657925997e-04;NA
SANTAGATA C;1;38;0;0;1;santagata c;0,00000000000000e+00;5,83328472262731e-05;1,15141478347927e-04;NA
SANTAGATA JL;1;4;0;0;0;santagata jl;0,00000000000000e+00;5,83362501458406e-05;1,44165388173290e-04;NA
SANTOUL F;1;18;0;0;4;santoul f;2,96700000000000e+03;4,82392667631452e-05;2,34650208258652e-04;c09
SANZ N;1;12;1;12;4;sanz n;0,00000000000000e+00;5,95521676989042e-05;1,37813652751925e-04;c01
SARDA R;1;6;0;0;4;sarda r;0,00000000000000e+00;6,36415706739642e-05;1,29859157084347e-04;c06
SARGEANT C;1;2;1;2;1;sargeant c;0,00000000000000e+00;1,11111111111111e-01;8,73951045282274e-05;NA
SARRAZIN L;1;26;0;0;1;sarrazin l;0,00000000000000e+00;6,80503572643756e-05;1,52985064323022e-04;NA
SASSOLAS G;1;33;1;33;0;sassolas g;0,00000000000000e+00;6,06281071904935e-05;2,33037346311153e-04;c11
SASTRE V;1;22;1;22;10;sastre v;0,00000000000000e+00;4,61872430834603e-05;2,06526585750864e-04;c10
SAU J;1;0;0;0;1;sau j;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
SAUGY JN;1;0;1;0;0;saugy jn;0,00000000000000e+00;3,99249411107119e-05;1,40828187729015e-04;NA
SAULEAU EA;1;26;0;0;0;sauleau ea;0,00000000000000e+00;1,42857142857143e-01;2,27515755465932e-04;NA
SAULNIER J;1;8;0;0;0;saulnier j;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SAUQUET G;1;0;0;0;0;sauquet g;0,00000000000000e+00;7,65403750478377e-05;1,74914254344182e-04;c11
SAURI D;1;3;0;0;1;sauri d;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SAVOYE R;1;34;0;0;0;savoye r;0,00000000000000e+00;1,66666666666667e-01;1,52788313645130e-04;NA
SAWAKUCHI S;1;19;0;0;0;sawakuchi s;0,00000000000000e+00;7,57920266787934e-05;1,84516572469167e-04;NA
SCAPOZZA C;1;16;1;16;2;scapozza c;0,00000000000000e+00;4,00000000000000e-02;9,75940749859293e-05;NA
SCERRI F;1;0;1;0;0;scerri f;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SCHABUSS M;1;129;0;0;0;schabuss m;0,00000000000000e+00;6,98812019566737e-05;2,34052657198770e-04;c04
SCHAEFER J;1;1;0;0;0;schaefer j;0,00000000000000e+00;5,00000000000000e-02;2,33444373134284e-04;NA
SCHAEFLI B;1;34;0;0;16;schaefli b;0,00000000000000e+00;6,05766900896535e-05;1,57819416495178e-04;NA
SCHAER C;1;16;0;0;0;schaer c;0,00000000000000e+00;4,68099049758929e-05;1,13362143962521e-04;NA
SCHAFER H;1;107;0;0;2;schafer h;0,00000000000000e+00;5,74415532195991e-05;1,70244378834987e-04;c03
SCHAFER J;1;3;0;0;9;schafer j;0,00000000000000e+00;5,00000000000000e-02;1,93871408971803e-04;NA
SCHAFER L;1;25;0;0;0;schafer l;0,00000000000000e+00;6,93240901213172e-05;1,43898596404162e-04;c06
SCHAFER S;1;9;0;0;2;schafer s;0,00000000000000e+00;6,87710611374733e-05;1,17621477901895e-04;c06
SCHAFFNER F;1;39;0;0;0;schaffner f;0,00000000000000e+00;2,00000000000000e-01;2,27515755466097e-04;NA
SCHALLER N;1;5;0;0;1;schaller n;0,00000000000000e+00;1,11111111111111e-01;2,23464204782332e-04;NA
SCHAPER J;1;0;0;0;1;schaper j;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
SCHATTAN P;1;14;1;14;1;schattan p;0,00000000000000e+00;4,61126994374251e-05;2,07790477484726e-04;c10
SCHEIDHAUER M;1;5;0;0;2;scheidhauer m;0,00000000000000e+00;3,48529206747525e-05;2,08350436731004e-04;c10
SCHEMBRI T;1;36;0;0;0;schembri t;0,00000000000000e+00;6,64098817904104e-05;1,61738707036815e-04;c04
SCHLAEPFER R;1;0;0;0;1;schlaepfer r;0,00000000000000e+00;2,00000000000000e-01;2,37216355573762e-04;NA
SCHLEY L;1;39;0;0;1;schley l;0,00000000000000e+00;2,00000000000000e-01;2,27515755465959e-04;NA
SCHLUMBERGER O;1;8;1;8;6;schlumberger o;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SCHLUNEGGER TA;1;23;0;0;0;schlunegger ta;0,00000000000000e+00;5,23615038223898e-05;2,50009829611886e-04;c10
SCHMID C;1;33;0;0;0;schmid c;0,00000000000000e+00;1,66666666666667e-01;2,27515755465975e-04;NA
SCHMID M;1;9;0;0;3;schmid m;0,00000000000000e+00;3,48869662294167e-05;1,94788435028193e-04;c10
SCHMIDT CM;1;6;1;6;0;schmidt cm;0,00000000000000e+00;NA;3,41273633200992e-05;NA
SCHMIDT F;1;19;0;0;7;schmidt f;3,85822024932714e+04;6,12107486074555e-05;3,42051141848527e-04;NA
SCHMIDT S;1;0;0;0;16;schmidt s;4,25396825396825e+00;6,14062020264047e-05;2,55807917390013e-04;c06
SCHMITT AK;1;0;0;0;0;schmitt ak;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
SCHMITT L;1;8;0;0;10;schmitt l;2,97091016106829e+04;7,84621420164771e-05;5,04478852647299e-04;c07
SCHNYDRIG D;1;71;0;0;1;schnydrig d;0,00000000000000e+00;4,98579049708331e-05;1,69343278971524e-04;c10
SCHOCH A;1;8;1;8;3;schoch a;0,00000000000000e+00;5,00000000000000e-02;1,49029127498542e-04;NA
SCHOCH-BAUMANN A;1;0;1;0;0;schoch-baumann a;0,00000000000000e+00;5,88235294117647e-02;2,46471249324237e-04;NA
SCHOENBAECHLER C;1;0;1;0;0;schoenbaechler c;0,00000000000000e+00;NA;3,41273633200992e-05;NA
SCHOLL F;1;2;1;2;4;scholl f;2,96700000000000e+03;6,67200427008273e-05;1,74095990433202e-04;c01
SCHOOT J;1;101;0;0;2;schoot j;0,00000000000000e+00;4,10004100041000e-05;2,12885139439977e-04;NA
SCHOUTEN S;1;38;0;0;6;schouten s;4,93085263000852e+01;6,94010687764592e-05;1,85630049586964e-04;c02
SCHRIER OJ;1;3;1;3;0;schrier oj;0,00000000000000e+00;NA;3,41273633200992e-05;NA
SCHUBRING F;1;6;0;0;0;schubring f;0,00000000000000e+00;1,66666666666667e-01;2,41089943525617e-04;NA
SCHULTE U;1;37;0;0;1;schulte u;0,00000000000000e+00;1,42857142857143e-01;2,27515755465932e-04;NA
SCHWARZER A;1;0;0;0;1;schwarzer a;0,00000000000000e+00;2,00000000000000e-01;2,27515755466097e-04;NA
SCOCCIMARRO E;1;19;0;0;1;scoccimarro e;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SCOTTI M;1;0;1;0;0;scotti m;0,00000000000000e+00;5,07949408238939e-05;8,23164313079358e-05;c11
SCOULLOS M;1;5;0;0;1;scoullos m;0,00000000000000e+00;1,66666666666667e-01;2,27515755466035e-04;NA
SCRIBE P;1;15;0;0;4;scribe p;0,00000000000000e+00;5,81327752586908e-05;1,46095435959325e-04;NA
SEAR DA;1;114;0;0;4;sear da;0,00000000000000e+00;1,25000000000000e-01;2,27515755465898e-04;NA
SEBRIER M;1;84;0;0;1;sebrier m;0,00000000000000e+00;6,70825786543235e-05;2,04116222562378e-04;NA
SEGNER H;1;9;0;0;1;segner h;0,00000000000000e+00;9,09090909090909e-02;1,93980196134455e-04;NA
SEGNER JF;1;14;0;0;0;segner jf;0,00000000000000e+00;9,09090909090909e-02;1,93980196134401e-04;NA
SEGUINOT J;1;108;1;108;4;seguinot j;0,00000000000000e+00;5,59753708368318e-05;1,80471631762371e-04;c07
SEGURA S;1;27;0;0;0;segura s;0,00000000000000e+00;7,20461095100865e-05;2,28234015303629e-04;c09
SEIBEL MJ;1;9;1;9;0;seibel mj;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
SEIBERT J;1;0;0;0;3;seibert j;0,00000000000000e+00;4,76190476190476e-02;2,39530228592073e-04;NA
SEIDEL K;1;0;1;0;0;seidel k;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SEIFERTOVA M;1;32;1;32;3;seifertova m;0,00000000000000e+00;5,06149719086906e-05;1,80203393368566e-04;c09
SEIP KL;1;0;0;0;0;seip kl;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SENEPART I;1;11;0;0;0;senepart i;0,00000000000000e+00;6,64451827242525e-05;1,84916507325107e-04;c07
SENN DB;1;19;0;0;0;senn db;0,00000000000000e+00;4,39309405614374e-05;2,11897922634402e-04;c10
SERANNE M;1;27;0;0;6;seranne m;0,00000000000000e+00;5,93225366316664e-05;1,90138232467755e-04;NA
SERRATOSIO B;1;12;0;0;1;serratosio b;0,00000000000000e+00;3,33333333333333e-01;1,75248622453671e-04;NA
SEYFRIED L;1;6;0;0;1;seyfried l;0,00000000000000e+00;7,36919675755343e-05;1,93970162425885e-04;c02
SEYMOUR M;1;122;0;0;0;seymour m;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SHALPYKOVA G;1;35;0;0;0;shalpykova g;0,00000000000000e+00;5,31349628055260e-05;2,04125207652867e-04;c01
SHANMUGAM G;1;14;1;14;3;shanmugam g;0,00000000000000e+00;NA;3,41273633200992e-05;NA
SHEN X;1;0;0;0;1;shen x;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SHIN YJ;1;4;0;0;1;shin yj;0,00000000000000e+00;6,58371189676740e-05;1,01673551888484e-04;c04
SHMAKIN AB;1;158;0;0;1;shmakin ab;0,00000000000000e+00;5,43124049532913e-05;2,69712258866941e-04;NA
SHRIRA V;1;0;0;0;0;shrira v;0,00000000000000e+00;5,68246391635413e-05;9,79419347577479e-05;c03
SHUBIN PN;1;0;1;0;1;shubin pn;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SHUBIN YP;1;0;0;0;0;shubin yp;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
SIAME L;1;84;1;84;1;siame l;0,00000000000000e+00;6,70825786543235e-05;2,04116222562337e-04;NA
SIBLOT S;1;5;0;0;0;siblot s;0,00000000000000e+00;4,64597658427802e-05;1,69541099356575e-04;c11
SICRE B;1;21;0;0;0;sicre b;0,00000000000000e+00;6,85635927322592e-05;1,47817361403939e-04;NA
SIERRA JP;1;0;0;0;2;sierra jp;5,00000000000000e+00;6,66666666666667e-02;2,84108849840842e-04;NA
SIERRA MMD;1;111;0;0;1;sierra mmd;0,00000000000000e+00;5,95344406739299e-05;1,41977748920341e-04;c03
SIERRO A;1;5;0;0;0;sierro a;0,00000000000000e+00;2,00000000000000e-01;2,27515755466030e-04;NA
SIEUDAT B;1;0;0;0;0;sieudat b;0,00000000000000e+00;6,58241179568194e-05;2,02885273067360e-04;c06
SILENZIARIO C;1;6;0;0;0;silenziario c;0,00000000000000e+00;5,89240469035413e-05;1,89923787153823e-04;NA
SIMAC L;1;25;0;0;1;simac l;0,00000000000000e+00;6,02191978802842e-05;1,67222560630041e-04;c01
SIMEANT HM;1;21;0;0;0;simeant hm;0,00000000000000e+00;7,52615338300595e-05;2,12763355997754e-04;c01
SIMMONET-LAPRADE C;1;34;1;34;1;simmonet-laprade c;0,00000000000000e+00;6,86200507788376e-05;1,70541831871502e-04;c07
SIMO R;1;147;0;0;9;simo r;0,00000000000000e+00;6,70870790285791e-05;2,33819900827183e-04;NA
SIMOND Y;1;0;0;0;0;simond y;0,00000000000000e+00;1,11111111111111e-01;2,02400379862723e-04;NA
SIMONNEAU A;1;55;0;0;2;simonneau a;0,00000000000000e+00;7,88084167389077e-05;2,01587102611646e-04;c07
SIMONNET JP;1;179;0;0;0;simonnet jp;0,00000000000000e+00;6,78748387972579e-05;1,00053610968958e-04;c04
SIMONNET-LAPRADE G;1;49;0;0;0;simonnet-laprade g;0,00000000000000e+00;7,19994240046080e-05;1,31822866620036e-04;c07
SISTACH D;1;49;0;0;0;sistach d;0,00000000000000e+00;6,57116572479958e-05;1,03684826413993e-04;c05
SIVADE E;1;49;0;0;0;sivade e;0,00000000000000e+00;7,19994240046080e-05;1,31822866619997e-04;c07
SLAVEYKOVA V;1;5;0;0;0;slaveykova v;0,00000000000000e+00;6,85025345937800e-05;1,49863406657228e-04;c01
SLAWYK G;1;26;0;0;3;slawyk g;0,00000000000000e+00;6,81431005110732e-05;9,75259565448350e-05;c03
SLIMAK E;1;139;0;0;0;slimak e;0,00000000000000e+00;3,85030032342523e-05;1,48091436852494e-04;NA
SLOMBERG J;1;54;0;0;0;slomberg j;0,00000000000000e+00;5,50933832846675e-05;1,32079462950331e-04;c08
SLYCKEN J;1;57;0;0;1;slycken j;0,00000000000000e+00;4,65896384644055e-05;1,98730024134955e-04;NA
SMERZINI C;1;0;1;0;1;smerzini c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SMITH DM;1;37;0;0;0;smith dm;0,00000000000000e+00;1,11111111111111e-01;2,40179907907217e-04;NA
SMITH KE;1;16;1;16;2;smith ke;0,00000000000000e+00;1,42857142857143e-01;2,21908263124159e-04;NA
SMITH P;1;36;0;0;5;smith p;0,00000000000000e+00;5,16608978664049e-05;1,07651111829383e-04;NA
SMITH PK;1;11;0;0;0;smith pk;0,00000000000000e+00;1,66666666666667e-01;2,25063144278410e-04;NA
SOEWARDI K;1;21;0;0;1;soewardi k;0,00000000000000e+00;5,76767793286423e-05;1,19244588045702e-04;c09
SOLA J;1;48;0;0;0;sola j;0,00000000000000e+00;7,44435345790218e-05;1,43050343120996e-04;c02
SOLE I;1;141;0;0;0;sole i;0,00000000000000e+00;5,57258289217052e-05;1,43153925567209e-04;c06
SOLOVIEV D;1;0;0;0;0;soloviev d;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SOLOVIEV DM;1;8;0;0;0;soloviev dm;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SOMELAR P;1;2;0;0;0;somelar p;0,00000000000000e+00;4,62278106508876e-05;1,91108767243658e-04;NA
SOOMETS T;1;10;1;10;1;soomets t;0,00000000000000e+00;5,33788833137611e-05;1,34674781971056e-04;c10
SOTELO G;1;4;1;4;0;sotelo g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
SOTOMERCADO Y;1;7;0;0;1;sotomercado y;0,00000000000000e+00;6,37917836182700e-05;1,67595287048935e-04;c03
SOTTOLICHIO A;1;5;0;0;2;sottolichio a;0,00000000000000e+00;6,13986615091791e-05;2,24339071557369e-04;c06
SOTTOLICHIO S;1;0;0;0;0;sottolichio s;0,00000000000000e+00;6,13911228436368e-05;2,01018199423531e-04;c06
SOUCHU P;1;25;1;25;3;souchu p;0,00000000000000e+00;2,50000000000000e-01;2,27515755466104e-04;NA
SOUISSI A;1;0;1;0;0;souissi a;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
SOULAS O;1;33;0;0;0;soulas o;0,00000000000000e+00;5,61703083749930e-05;1,61766408498603e-04;NA
SOULIE-MAERSCHE T;1;16;0;0;0;soulie-maersche t;0,00000000000000e+00;6,55780706931602e-05;1,79719322698426e-04;NA
SOUTTER M;1;35;1;35;2;soutter m;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
SOYER J;1;175;0;0;0;soyer j;0,00000000000000e+00;6,70645831936155e-05;1,21564310067800e-04;c02
SPIEGEL C;1;33;0;0;1;spiegel c;0,00000000000000e+00;1,66666666666667e-01;2,27515755465912e-04;NA
SPIEGELBERGER T;1;50;0;0;1;spiegelberger t;0,00000000000000e+00;2,50000000000000e-01;2,27515755466104e-04;NA
SPLENDIANI A;1;8;1;8;2;splendiani a;0,00000000000000e+00;6,29921259842520e-05;2,45661575161169e-04;c04
SPREM N;1;0;0;0;1;sprem n;0,00000000000000e+00;7,14285714285714e-02;2,27515755465849e-04;NA
SPRINGMAN SM;1;3;0;0;1;springman sm;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
ST-PIERRE S;1;4;1;4;0;st-pierre s;8,89500000000000e+03;5,02714659159461e-05;3,22924300790023e-04;c05
STANLEY DJ;1;8;1;8;29;stanley dj;0,00000000000000e+00;NA;3,41273633200992e-05;NA
STANLEY JD;1;2;1;2;3;stanley jd;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
STARK N;1;38;0;0;3;stark n;0,00000000000000e+00;4,62235370250532e-05;1,85019488534277e-04;c10
STEENBEEK J;1;27;0;0;0;steenbeek j;0,00000000000000e+00;1,66666666666667e-01;2,27515755465912e-04;NA
STEIG M;1;30;0;0;0;steig m;0,00000000000000e+00;7,06713780918728e-05;1,53469245763017e-04;c11
STEINMETZ J;1;10;0;0;0;steinmetz j;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
STEMMANN H;1;20;0;0;0;stemmann h;0,00000000000000e+00;6,61594442606682e-05;1,30920075487540e-04;c06
STEPHANE C;1;2;1;2;0;stephane c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
STIEGLITZ T;1;6;0;0;2;stieglitz t;0,00000000000000e+00;7,63184003663283e-05;1,54387873239650e-04;NA
STOECKLI R;1;16;1;16;0;stoeckli r;0,00000000000000e+00;4,68099049758929e-05;1,13362143962488e-04;NA
STOLL S;1;125;0;0;0;stoll s;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
STORCK F;1;0;0;0;1;storck f;0,00000000000000e+00;5,89414122362372e-05;7,35109438484809e-05;c11
STROCHKOV TY;1;8;0;0;0;strochkov ty;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
STROMBERG JC;1;37;0;0;10;stromberg jc;1,00000000000000e+01;1,42857142857143e-01;3,51895824086414e-04;NA
STRUCK U;1;3;0;0;0;struck u;0,00000000000000e+00;1,66666666666667e-01;2,27515755465975e-04;NA
STUCKI P;1;0;0;0;4;stucki p;0,00000000000000e+00;2,00000000000000e-01;2,27515755466030e-04;NA
STUDER M;1;2;0;0;0;studer m;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
STURMBAUER C;1;63;0;0;1;sturmbauer c;0,00000000000000e+00;5,96765530822940e-05;1,93267170904761e-04;c09
STUTENBECKER M;1;14;0;0;0;stutenbecker m;0,00000000000000e+00;5,02689388227015e-05;1,92783964068427e-04;c10
SUAIRE R;1;27;0;0;0;suaire r;0,00000000000000e+00;7,20461095100865e-05;2,28234015303586e-04;c09
SUEUR J;1;15;0;0;1;sueur j;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
SUKLITSCH M;1;13;0;0;1;suklitsch m;0,00000000000000e+00;6,10016470444702e-05;2,13110788884506e-04;NA
SUN J;1;62;0;0;4;sun j;1,18560000000000e+04;7,29820464165815e-05;3,13869871564739e-04;c06
SUN MY;1;56;0;0;7;sun my;0,00000000000000e+00;7,00623554963918e-05;1,25158958544545e-04;c06
SUREMANN J;1;0;0;0;0;suremann j;0,00000000000000e+00;4,76190476190476e-02;2,39530228592031e-04;NA
SUTER A;1;5;0;0;0;suter a;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
SVOBODOVA A;1;3;1;3;0;svobodova a;0,00000000000000e+00;NA;3,41273633200992e-05;NA
SYLVIE B;1;15;0;0;0;sylvie b;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
SYNAL HA;1;21;0;0;0;synal ha;0,00000000000000e+00;5,26509766756173e-05;1,82022124942796e-04;c10
SZEKIELDA KH;1;39;0;0;1;szekielda kh;0,00000000000000e+00;5,49239303564563e-05;8,59012199872545e-05;c03
TABACCHI A;1;50;0;0;0;tabacchi a;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
TABOURET H;1;1;0;0;4;tabouret h;0,00000000000000e+00;6,54065014062398e-05;1,48599912638471e-04;c04
TACCHINI G;1;5;0;0;0;tacchini g;0,00000000000000e+00;3,48529206747525e-05;2,08350436730947e-04;c10
TACHIKAWA K;1;93;0;0;1;tachikawa k;0,00000000000000e+00;7,33299112708074e-05;2,49814043737172e-04;c01
TACK P;1;0;0;0;0;tack p;0,00000000000000e+00;6,04083605170956e-05;2,15713115853461e-04;c05
TAILLEFERT M;1;18;0;0;2;taillefert m;0,00000000000000e+00;6,54022236756050e-05;1,33601891429902e-04;c06
TALVA R;1;45;0;0;0;talva r;0,00000000000000e+00;6,50660420326631e-05;1,81400218069823e-04;NA
TAMBORSKI JJ;1;6;0;0;1;tamborski jj;0,00000000000000e+00;7,63184003663283e-05;1,54387873239610e-04;NA
TAMBURINI C;1;57;0;0;2;tamburini c;0,00000000000000e+00;5,72049653909959e-05;9,45385190137073e-05;c03
TANAKA K;1;158;0;0;2;tanaka k;0,00000000000000e+00;5,43124049532913e-05;2,69712258866895e-04;NA
TASSY A;1;18;1;18;2;tassy a;0,00000000000000e+00;6,10165354811154e-05;1,36349810241908e-04;NA
TAUBER JP;1;33;0;0;0;tauber jp;0,00000000000000e+00;6,06281071904935e-05;2,33037346311097e-04;c11
TEDESCO PA;1;16;1;16;5;tedesco pa;1,27102399236262e+04;7,10782571611344e-05;2,56919168631530e-04;c09
TEGEL W;1;12;0;0;1;tegel w;0,00000000000000e+00;2,50000000000000e-01;2,27515755466023e-04;NA
TELES V;1;13;1;13;2;teles v;0,00000000000000e+00;6,35768326021998e-05;1,42821274397606e-04;NA
TENA-PAGAN A;1;22;0;0;0;tena-pagan a;0,00000000000000e+00;8,28500414250207e-05;3,13833070189062e-04;c01
TERZIC JL;1;42;0;0;0;terzic jl;0,00000000000000e+00;6,31592244047243e-05;1,33135635526441e-04;c03
TESI A;1;13;0;0;0;tesi a;0,00000000000000e+00;6,55179191508878e-05;1,04566978119298e-04;c02
TESSIER B;1;38;0;0;2;tessier b;0,00000000000000e+00;6,13120784794605e-05;2,02759626323358e-04;NA
TESTI B;1;5;0;0;0;testi b;0,00000000000000e+00;7,37789582411096e-05;1,78161041780241e-04;c04
TESTOR P;1;2;0;0;4;testor p;1,51870963250147e+03;7,59186152444579e-05;2,69424986531738e-04;c02
TETARD S;1;10;0;0;1;tetard s;5,92000000000000e+03;6,36942675159236e-05;2,96907799924480e-04;c04
TETREL C;1;3;0;0;0;tetrel c;0,00000000000000e+00;2,50000000000000e-01;1,86369289051863e-04;NA
TEYSSEIRE P;1;3;0;0;1;teysseire p;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
THALMANN M;1;13;0;0;0;thalmann m;0,00000000000000e+00;4,52488687782805e-05;1,64747929511198e-04;NA
THANH-THUY NGUYEN-BOISSE TTNB;1;8;1;8;0;thanh-thuy nguyen-boisse ttnb;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
THAREAU L;1;1;1;1;2;thareau l;0,00000000000000e+00;5,98050355839962e-05;1,59734170928538e-04;c11
THEBAULT H;1;12;0;0;0;thebault h;0,00000000000000e+00;6,61331922491899e-05;1,35070401654127e-04;c05
THEBE B;1;0;0;0;0;thebe b;0,00000000000000e+00;5,91680965623336e-05;2,07366124148350e-04;c11
THEOCHARIS A;1;37;0;0;2;theocharis a;0,00000000000000e+00;6,76956404007582e-05;1,89861432955038e-04;c02
THIBAUT T;1;17;1;17;1;thibaut t;0,00000000000000e+00;6,96718456071901e-05;1,69492690834055e-04;c02
THIEBAUT G;1;8;0;0;6;thiebaut g;0,00000000000000e+00;5,62050359712230e-05;1,58018933295383e-04;c01
THIEBAUT L;1;4;0;0;0;thiebaut l;0,00000000000000e+00;5,79105860551309e-05;1,42504492283123e-04;c11
THILL A;1;77;1;77;26;thill a;0,00000000000000e+00;6,73990698928355e-05;1,40235881218666e-04;NA
THOMA A;1;6;0;0;0;thoma a;0,00000000000000e+00;9,09090909090909e-02;2,27515755465788e-04;NA
THOMAS B;1;122;0;0;1;thomas b;0,00000000000000e+00;6,60807506773277e-05;1,76803193395889e-04;c02
